type	DRC150
none	0.00129859
none	0.00178619
none	0.00222116
none	0.00177869
none	0.00181031
none	0.00133113
none	0.00148936
none	0.00189619
none	0.00208034
none	0.00210353
none	0.00198738
none	0.00185058
none	0.00221644
none	0.00278074
none	0.00263545
none	0.00266761
none	0.00245729
none	0.00178634
none	0.00242748
none	0.00147438
none	0.00124249
none	0.000447186
none	0.000266729
none	0.00135455
none	0.00148863
none	0.00166438
none	0.0024283
none	0.00237065
none	0.00228886
none	0.00260774
none	0.0025
none	0.00183465
none	0.00136504
none	0.00149124
none	0.000878337
none	0.00239123
none	0.00240959
none	0.00235745
none	0.00231346
none	0.00238347
none	0.00199062
none	0.00165036
none	0.00170451
none	0.00179107
none	0.00196596
none	0.00205156
none	0.00149931
none	0.00113963
none	0.00170752
none	0.00228349
none	0.00230032
none	0.00202154
none	0.00174168
none	0.00169771
none	0.00166795
none	0.00148137
none	0.00124391
none	0.00116533
none	0.00208348
none	0.00260874
none	0.002812
none	0.00291217
none	0.00274187
none	0.00257145
none	0.00246251
none	0.00228568
none	0.00149881
none	0.00128436
none	0.00178924
none	0.00135319
none	0.00141695
none	0.00121797
none	0.00143516
none	0.00229832
none	0.0019839
none	0.00124882
none	0.000907754
none	0.00207079
none	0.00164291
none	0.00209944
none	0.00180205
none	0.00209146
none	0.00122367
none	0.0010013
none	0.00214906
none	0.00168001
none	0.00129079
none	0.00143709
none	0.00134118
none	0.00148431
none	0.00134771
none	0.0028395
none	0.00173481
none	0.00179288
none	0.001501
none	0.001764
none	0.00136419
none	0.00119009
none	0.00140348
none	0.00153723
none	0.00127727
none	0.0012311
none	0.00108103
none	0.00173506
none	0.00157561
none	0.00119735
none	0.00111527
none	0.000985103
none	0.00113461
none	0.00109146
none	0.001006
none	0.00096772
